Player,Original_Position,AI_Top_Positions,Adaptability_Score
Y. Bounou,GK,"GK, CB, CAM, CDM, CF",1
Jonny,LWB,"LB, RB, CDM, CB, CM",0
Ricardo Horta,LM,"LM, CAM, RM, CM, ST",0
I. Marcone,CDM,"CDM, CB, CM, CAM, LB",1
D. Benedetto,ST,"ST, RM, CAM, CF, CM",1
M. Hitz,GK,"GK, CB, ST, CDM, CF",1
N. Clyne,RB,"RB, LB, CDM, CB, CF",1
Kike García,ST,"ST, CB, CAM, CF, CM",1
Herrerín,GK,"GK, CB, CAM, CDM, CF",1
Víctor Ruiz,CB,"CB, CAM, CDM, CF, CM",1
Hugo Mallo,RB,"RB, LB, CDM, CM, CB",1
P. Jones,CB,"CB, RB, CAM, CF, CM",1
A. Finnbogason,ST,"ST, LW, CAM, CF, CM",1
Fernando Torres,ST,"ST, CB, CAM, CF, CM",1
B. Yılmaz,ST,"ST, LM, LW, CF, CAM",1
M. Gómez,ST,"ST, CB, CAM, CF, CM",1
R. Babel,LW,"ST, LM, CAM, LW, RM",1
B. Costil,GK,"GK, CB, CAM, CDM, CF",1
B. Foster,GK,"GK, CB, CAM, CDM, CF",1
T. Heaton,GK,"GK, CB, CAM, CDM, CF",1
Charles,ST,"ST, LM, LW, CF, CAM",1
G. Cahill,CB,"CB, CDM, RB, CF, CM",1
A. Selikhov,GK,"GK, CB, CAM, CDM, CF",1
C. Izquierdoz,CB,"CB, CM, CDM, RB, CAM",1
W. Benítez,GK,"GK, CB, CAM, CDM, CF",1
N. Maksimović,CB,"CB, CAM, CDM, CF, CM",1
A. Mitrović,ST,"ST, CB, CAM, CF, CM",1
M. Sportiello,GK,"GK, CB, CAM, CDM, CF",1
Capa,RB,"RB, LB, CM, ST, RWB",1
L. Dunk,CB,"CB, CDM, CAM, CF, CM",1
C. Schindler,CB,"CB, CAM, CDM, CF, CM",1
Pedro Mendes,CB,"CB, CDM, LB, RB, CAM",1
R. Saponara,CAM,"CAM, ST, CM, LW, RM",1
M. Hinteregger,CB,"CB, CDM, LB, CM, RB",1
W. Boly,CB,"CB, CDM, LB, CAM, CF",1
A. Schwolow,GK,"GK, CB, CAM, CDM, CF",1
Álvaro,CB,"CB, CDM, RB, LB, CM",1
O. Karnezis,GK,"GK, CB, CAM, CDM, CF",1
R. Cabella,CAM,"CAM, RM, LM, ST, CM",0
J. Hart,GK,"GK, CB, CAM, CDM, CF",1
E. Hernández,RM,"RM, CAM, ST, LW, LM",1
D. Ginczek,ST,"ST, CB, CAM, CF, CM",1
A. Begović,GK,"GK, CB, CAM, CDM, CF",1
Hilton,CB,"CB, CDM, CM, RB, LB",1
J. Baumgartlinger,CDM,"CDM, CB, RB, LB, CM",1
M. Debuchy,RB,"RB, LB, CM, CDM, CB",1
G. Maripán,CB,"CB, CAM, CDM, CF, CM",1
Iván Cuéllar,GK,"GK, CB, CAM, CDM, CF",1
Aarón Martín,LB,"LB, RB, CB, CM, CDM",1
S. Cook,CB,"CB, CAM, CDM, CF, CM",1
B. Mee,CB,"CB, CDM, LB, CAM, CF",1
S. Rondón,ST,"ST, CB, CAM, CF, CM",1
V. Ibišević,ST,"ST, CM, CDM, LW, RW",1
J. Calleri,ST,"ST, LM, CAM, CF, CM",1
A. Jahanbakhsh,RM,"RM, ST, LM, LW, CAM",1
A. Prijović,ST,"ST, CB, CAM, CF, CM",1
Fabricio,GK,"GK, CB, CAM, CDM, CF",1
Jorge Meré,CB,"CB, CDM, LB, RB, CAM",1
Álex Remiro,GK,"GK, CB, CAM, CDM, CF",1
A. Pyatov,GK,"GK, CB, CAM, CDM, CF",1
Diego Llorente,CB,"CB, CDM, CAM, CF, CM",1
I. Abate,RB,"RB, LB, CDM, CB, CF",1
N. Füllkrug,ST,"ST, CB, CAM, CF, CM",1
Wallace,CB,"CB, CAM, CDM, CF, CM",1
Roberto,GK,"GK, CB, CAM, CDM, CF",1
S. Tasci,CB,"CB, CM, CAM, CDM, CF",1
J. Defoe,ST,"ST, LM, CAM, LW, RM",1
V. Babacan,GK,"GK, CB, CAM, CDM, CF",1
O. Ighalo,ST,"ST, LM, CAM, CF, CM",1
K. Lasagna,ST,"ST, LW, CAM, CF, CM",1
D. Cvitanich,ST,"ST, RM, CAM, CF, CM",1
S. De Maio,CB,"CB, GK, CAM, CDM, CF",1
S. Terodde,ST,"ST, CB, CAM, CF, CM",1
R. Civelli,CB,"CB, CDM, CM, ST, RB",1
K. Papadopoulos,CB,"CB, CAM, CDM, CF, CM",1
P. Jagielka,CB,"CB, RB, CAM, CF, CM",1
M. Benassi,CM,"CM, RM, CB, RB, CDM",1
P. Jansson,CB,"CB, CDM, LB, RB, CAM",1
B. Espinosa,CB,"CB, CAM, CDM, CF, CM",1
José Sá,GK,"GK, CB, CAM, CDM, CF",1
M. Sels,GK,"GK, CB, CAM, CDM, CF",1
Yuri Berchiche,LB,"LB, RB, CB, CM, CDM",1
R. Borré,ST,"ST, LW, CAM, RW, RM",1
Paulinho,ST,"ST, CB, CAM, CF, CM",1
M. Samatta,ST,"ST, LW, CAM, CF, CM",1
I. Diop,CB,"CB, CDM, CAM, CF, CM",1
M. Lowton,RB,"RB, LB, CM, CDM, CB",1
T. Hernández,LB,"LB, RB, CB, CM, CDM",1
Juanpe,CB,"CB, LB, CAM, CDM, CF",1
Balenziaga,LB,"LB, RB, CB, CM, CDM",0
D. Reyes,CB,"CB, CDM, CM, LB, CAM",1
S. Doumbia,ST,"ST, LM, CAM, RM, CF",1
L. López,CB,"CB, CDM, CAM, CF, CM",1
J. Lössl,GK,"GK, CB, CAM, CDM, CF",1
N. Blandi,ST,"ST, LM, CAM, CF, CM",1
L. Kalinić,GK,"GK, CB, CAM, CDM, CF",1
F. Fernández,CB,"CB, CAM, CDM, CF, CM",1
J. Martínez,ST,"ST, CDM, CAM, CM, LB",1
C. Benteke,ST,"ST, CB, CAM, CF, CM",1
L. Baines,LB,"LB, RB, CM, CDM, CB",1
F. Benković,CB,"CB, CDM, LB, CAM, CF",1
I. Ordets,CB,"CB, CAM, CDM, CF, CM",1
Francisco Geraldes,CAM,"CAM, RM, LM, LW, ST",1
Vitor Hugo,CB,"CB, CAM, CDM, CF, CM",1
C. Austin,ST,"ST, CB, CAM, CF, CM",1
Kenedy,LM,"RM, CM, ST, LM, LB",0
J. Morel,CB,"CB, CDM, LB, RB, CAM",1
Llorente,ST,"ST, CB, CAM, CF, CM",1
G. Gönül,RB,"RB, LB, CM, CDM, CB",1
A. Paloschi,ST,"ST, RM, CAM, CF, CM",1
Juli Freitinho,CB,"CB, CDM, RB, CM, CAM",1
A. Knockaert,RM,"RM, CAM, ST, CM, LM",1
Córdoba,LW,"LW, CM, CAM, RB, LM",1
H. Seferović,ST,"ST, CB, CAM, CF, CM",1
F. Caputo,ST,"ST, LM, CAM, CF, CM",1
J. Ayew,ST,"ST, LM, CAM, RM, LW",1
Andrés Fernández,GK,"GK, CB, CAM, CDM, CF",1
D. Heintz,CB,"CB, CDM, CAM, CF, CM",1
Miguel Lopes,RB,"RB, LB, CDM, CB, CM",1
S. Brown,CDM,"CDM, CB, CM, LB, RB",0
A. Soumaoro,CB,"CB, CAM, CDM, CF, CM",1
Raúl Navas,CB,"CB, CDM, LB, CAM, CF",1
A. Szalai,ST,"ST, CB, CAM, CF, CM",1
L. Skorupski,GK,"GK, CB, CAM, CDM, CF",1
R. Hamouma,RM,"RM, CAM, ST, LW, LM",0
K. Linetty,CM,"CM, RB, CDM, RWB, LB",1
S. Bell,CB,"CB, CAM, CDM, CF, CM",1
M. Vorm,GK,"GK, CB, CAM, CDM, CF",1
Unai Núñez,CB,"CB, CAM, CDM, CF, CM",1
A. Hamdallah,ST,"ST, LM, CAM, CF, CM",1
Pablo Santos,CB,"CB, CAM, CDM, CF, CM",1
Felipe,CB,"CB, CDM, CAM, CF, CM",1
Mossoró,CAM,"CAM, RM, ST, LW, LM",0
Alberto Moreno,LB,"LB, RB, CM, LM, CB",1
R. Funes Mori,ST,"ST, CAM, LM, RM, LW",1
A. Djiku,CB,"CB, RB, LB, CDM, LWB",1
G. Carrillo,ST,"ST, CB, CAM, CF, CM",1
A. Franco,CB,"CB, RB, CDM, CM, CAM",1
J. Bruma,CB,"CB, CDM, CAM, CF, CM",1
L. Sepe,GK,"GK, CB, CAM, CDM, CF",1
S. Vokes,ST,"ST, CB, CAM, CF, CM",1
J. Amavi,LB,"RB, LB, CM, CDM, CAM",0
Idris,CDM,"CB, CDM, RB, CM, LB",0
O. Norwood,CM,"CM, CB, RB, LM, CDM",1
P. Dummett,LB,"LB, CB, CDM, RB, CAM",1
L. Dimata,ST,"ST, LM, RM, CF, CAM",1
L. Butelle,GK,"GK, CB, CAM, CDM, CF",1
Jason,RM,"RM, ST, CAM, LW, LM",1
Diego Castro,LW,"LW, RM, CAM, ST, LM",1
R. Karsdorp,RB,"RB, LB, CM, CB, CDM",0
Marafona,GK,"GK, CB, CAM, CDM, CF",1
M. Jensen,CM,"CM, LB, LW, CDM, CAM",1
R. Thomas,CM,"CM, LB, RM, CDM, LW",1
B. Butko,RB,"RB, LB, CM, RM, CB",0
T. Foket,RB,"RB, LB, CM, CDM, CB",1
J. Briand,ST,"ST, CAM, RB, LM, RM",1
M. Konaté,ST,"ST, RW, CAM, CF, CM",1
H. Ayala,CB,"CB, LB, RB, CM, CDM",1
A. Boruc,GK,"GK, CB, CAM, CDM, CF",1
S. Larsson,LW,"RM, CAM, LM, CM, ST",0
P. Bernardoni,GK,"GK, CB, CAM, CDM, CF",1
R. Skov,RM,"RM, CAM, ST, LW, LM",1
J. Tavernier,RB,"RB, LB, CM, RM, ST",1
Marlon,CB,"CB, CDM, RB, CM, CAM",1
A. Duncan,CM,"CM, RB, LB, CDM, CB",1
S. Sturaro,CM,"CM, LB, RB, CDM, CB",0
H. Arter,CM,"CM, CDM, LB, CB, CAM",1
F. Niederlechner,ST,"ST, CB, CAM, CF, CM",1
B. Pearson,CDM,"CDM, CM, LB, RB, CB",0
T. Abraham,ST,"ST, CB, CAM, CF, CM",1
Jefferson,LB,"LB, RB, CM, CDM, CB",1
J. Mæhle,RB,"RB, LB, CM, CB, CDM",0
O. Murillo,CB,"CB, LB, CAM, CDM, CF",1
Borja Bastón,ST,"ST, CB, CAM, CF, CM",1
Zaldúa,RB,"RB, LB, CB, CDM, CAM",1
M. Diagne,ST,"ST, CB, CAM, CF, CM",1
S. Dann,CB,"CB, CAM, CDM, CF, CM",1
M. Pavlović,CB,"CB, CDM, CM, LB, RB",1
K. Vermeer,GK,"GK, CB, CAM, CDM, CF",1
Fontàs,CB,"CB, LB, CDM, ST, RB",1
Arribas,CB,"CB, RB, CAM, CF, CM",1
E. Roco,CB,"CB, CAM, CDM, CF, CM",1
G. Donsah,CM,"CM, LB, RB, CDM, CB",1
S. Sinclair,LM,"ST, RM, CAM, LW, LM",0
Reguilón,LB,"LB, RB, CB, CDM, CF",1
Caio Milaçar,CAM,"CAM, RM, LM, ST, RW",0
M. Kempf,CB,"CB, CAM, CDM, CF, CM",1
Daniel Ayala,CB,"CB, LB, CDM, CM, RB",1
G. Ortíz,CB,"CB, CAM, CDM, CF, CM",1
R. Gikiewicz,GK,"GK, CB, CAM, CDM, CF",1
R. Rey,GK,"GK, CB, CAM, CDM, CF",1
Marcelo,CB,"CB, CDM, LB, CAM, CF",1
S. von Bergen,CB,"CB, CDM, LB, CAM, CF",1
J. Obi,CM,"CM, LB, RB, CDM, LM",1
Raúl Fernández,GK,"GK, CB, CAM, CDM, CF",1
R. Berić,ST,"ST, CAM, CB, CF, CM",1
N. Spolli,CB,"CB, CAM, CDM, CF, CM",1
L. Moore,CB,"CB, CDM, RB, CF, CM",1
D. Falcinelli,ST,"ST, CB, CAM, CF, CM",1
J. Babin,CB,"CB, CDM, RB, LB, CM",1
M. Besler,CB,"CB, CDM, CM, RB, CAM",1
P. Martinez,CB,"CB, LB, RB, CDM, CAM",1
Renan Bressan,CM,"CM, CAM, ST, LM, LW",1
M. Rensing,GK,"GK, CB, CAM, CDM, CF",1
W. Janssen,CB,"CB, CDM, CM, LB, LM",1
E. Mena,LB,"LB, RB, CM, CDM, CB",1
Davidson,LM,"RM, LM, CAM, CM, LW",0
Diogo Leite,CB,"CB, CDM, CAM, CF, CM",1
L. Sané,CB,"CB, CDM, CAM, CF, CM",1
Ivo,CM,"CM, CAM, RM, ST, LM",1
J. Córdoba,ST,"ST, LM, LW, CF, CAM",1
N. Murru,LB,"RB, LB, CDM, CB, CAM",0
L. Robles,GK,"GK, CB, CAM, CDM, CF",1
A. Ulmer,LB,"LB, RB, CDM, CM, CB",1
I. Nestorovski,ST,"ST, CB, CAM, CF, CM",1
O. Kayode,ST,"ST, LM, RM, LW, CAM",1
Jadson Vidigal,ST,"ST, CAM, CB, CF, CM",1
P. Verhaegh,RB,"RB, LB, CDM, CM, CB",1
L. Cavallini,ST,"ST, CB, CAM, CF, CM",1
K. Adams Nuhu,CB,"CB, CDM, CM, CAM, CF",1
Kévin Rodrigues,LB,"LB, RB, CB, CM, CDM",1
Ramalho,CB,"CB, RB, LB, CDM, CM",1
A. Semenov,CB,"CB, CDM, LB, CAM, CF",1
G. Charbonnier,ST,"ST, CB, CAM, CF, CM",1
Luisinho,LB,"RB, LB, CM, CDM, CF",0
H. Wolf,CAM,"CAM, RM, ST, LM, LW",1
J. Aidoo,CB,"CB, CDM, LB, CAM, CF",1
J. Vuković,CB,"CB, CAM, CDM, CF, CM",1
J. Beausejour,LB,"LB, RB, CM, CAM, RM",1
Ruben Lima,LB,"LB, RB, CDM, CB, CAM",1
E. Room,GK,"GK, CB, CAM, CDM, CF",1
Yuri Ribeiro,LB,"LB, RB, CM, LM, LWB",1
William,ST,"ST, CB, CAM, CF, CM",1
C. Söyüncü,CB,"CB, CAM, CDM, CF, CM",1
A. Lozano,ST,"ST, LM, CAM, CF, CM",1
Adrianiscito,GK,"GK, CB, CAM, CDM, CF",1
S. Grytebust,GK,"GK, CB, CAM, CDM, CF",1
I. Strinić,LB,"LB, RB, CB, CM, CDM",1
Pedro Rebocho,LB,"LB, RB, CM, CDM, CB",0
J. Mbakogu,ST,"ST, RM, CAM, LW, CF",1
Dória,CB,"CB, RB, CAM, CF, CM",1
K. Kamara,ST,"ST, RM, LW, CF, CAM",1
S. Bahoken,ST,"ST, RM, CAM, RW, RB",1
B. Gibson,CB,"CB, CAM, CDM, CF, CM",1
Nacho,LB,"LB, RB, RWB, CDM, CF",1
A. Cornelius,ST,"ST, CB, CAM, CF, CM",1
S. Özbayraklı,RB,"RB, LB, CM, CDM, CB",1
E. Zukanović,CB,"CB, CDM, RB, CF, CM",1
O. Niasse,ST,"ST, CB, CAM, CF, CM",1
Jesus Andradaldo,RB,"RB, LB, CB, CM, CDM",1
S. Dzhanaev,GK,"GK, CB, CAM, CDM, CF",1
M. Degenek,CB,"CB, RB, LB, CDM, CM",1
Y. Ravet,RM,"RM, ST, CAM, LM, LW",1
D. Padelli,GK,"GK, CB, CAM, CDM, CF",1
C. Awaziem,CB,"CB, CAM, CDM, CF, CM",1
Luna,LB,"LB, RB, CDM, CM, CB",1
A. Chedjou,CB,"CB, CDM, CAM, CF, CM",1
Djavan,LB,"RB, LB, CM, CB, CDM",0
A. Rebrov,GK,"GK, CB, CAM, CDM, CF",1
G. Margreitter,CB,"CB, CAM, CDM, CF, CM",1
M. Russ,CB,"CB, CAM, CDM, CF, CM",1
H. Van Crombrugge,GK,"GK, CB, CAM, CDM, CF",1
V. Karavaev,RB,"RB, LB, CDM, CM, CB",1
D. Bessa,CM,"CM, RM, LM, CAM, CF",1
J. Basanta,CB,"CB, LB, CDM, RB, CAM",1
C. Adams,ST,"ST, RM, CAM, CF, CM",1
Jota,RM,"CAM, LM, RM, ST, RW",0
E. Crivelli,ST,"ST, RM, CAM, CF, CM",1
Etxeita,CB,"CB, CAM, CDM, CF, CM",1
D. Ciofani,ST,"ST, RM, CB, CF, CM",1
J. St. Juste,RB,"RB, LB, CB, CM, CDM",0
E. Goldaniga,CB,"CB, CAM, CDM, CF, CM",1
Suk Hyun Jun,ST,"ST, CB, CAM, CF, CM",1
Insua,CB,"CB, CDM, LB, CAM, CF",1
Ignasi Miquel,CB,"CB, RB, LB, CDM, CF",1
L. Bustamante,CAM,"CAM, LM, RM, ST, RW",1
E. Schelotto,RB,"RB, LB, CM, CDM, CAM",1
Paulinho,RB,"RB, LB, CM, CDM, CB",1
F. Hübner,CB,"CB, CAM, CDM, CF, CM",1
M. Kanazaki,ST,"ST, LM, CAM, LW, RM",1
S. Sunzu,CB,"CB, RB, CAM, CF, CM",1
Y. Sanogo,ST,"ST, CB, CAM, CF, CM",1
S. Dioudis,GK,"GK, CB, CAM, CDM, CF",1
S. Bertoli,GK,"GK, CB, CAM, CDM, CF",1
J. Mišić,CM,"CM, CDM, CB, LB, LM",1
Fabiano,GK,"GK, CB, CAM, CDM, CF",1
J. Gandolfi,CB,"CB, CDM, LB, CAM, CF",1
J. Lewis,GK,"GK, CB, CAM, CDM, CF",1
J. Poulsen,CM,"CM, CDM, RB, RM, ST",1
C. Montes,CB,"CB, CDM, LB, RB, CAM",1
R. Meggiorini,ST,"ST, LM, CAM, CF, CM",1
N. Bungert,CB,"CB, CDM, CM, RB, CAM",1
F. Meza,CB,"CB, CDM, CM, LB, RB",1
A. Henríquez,ST,"ST, LW, CAM, CM, CF",1
Nélson Oliveira,ST,"ST, CB, CAM, CF, CM",1
E. Terranova,CB,"CB, CAM, CDM, CF, CM",1
R. Emond,ST,"ST, CB, CAM, CF, CM",1
G. Hooper,ST,"ST, LW, CF, RM, CDM",1
Miguel Vieira,CB,"CB, CAM, CDM, CF, CM",1
N. Navarro,GK,"GK, CB, CAM, CDM, CF",1
A. Barboza,CB,"CB, CM, CAM, CDM, CF",1
A. Smithies,GK,"GK, CB, CAM, CDM, CF",1
G. Pazzini,ST,"ST, LW, CM, LM, RW",1
A. Mina,CB,"CB, CAM, CDM, CF, CM",1
L. Burián,GK,"GK, CB, CAM, CDM, CF",1
Ricardo,ST,"ST, LM, CAM, RM, CF",1
G. Peruzzi,RB,"RB, LB, CDM, CB, CAM",1
K. Westwood,GK,"GK, CB, CAM, CDM, CF",1
Evandro Rochedo,ST,"ST, CAM, RM, LW, RB",1
Dani Pacheco,LM,"LM, CAM, RM, ST, RW",1
Juan Carlos,GK,"GK, CB, CAM, CDM, CF",1
A. Özbiliz,RW,"RW, RM, CAM, LM, ST",1
G. Banguera,GK,"GK, CB, CAM, CDM, CF",1
K. Johnsson,GK,"GK, CB, CAM, CDM, CF",1
U. Demirok,CB,"CB, CDM, LB, CAM, CF",1
W. Troost-Ekong,CB,"CB, CAM, CDM, CF, CM",1
Paulinho,LW,"LW, ST, RW, LM, RM",1
J. Foyth,CB,"CB, CDM, LB, RB, CM",1
Hélder Lopes,LB,"LB, RB, LM, CDM, CF",1
E. Berg,CB,"CB, CDM, CAM, CF, CM",1
R. Bengtsson,CB,"CB, CAM, CDM, CF, CM",1
K. Wilczek,ST,"ST, RM, CM, LM, CDM",1
R. Halliche,CB,"CB, CAM, CDM, CF, CM",1
V. Vada,CM,"CM, LB, CDM, CAM, RB",1
D. Jensen,GK,"GK, CB, CAM, CDM, CF",1
D. Randolph,GK,"GK, CB, CAM, CDM, CF",1
João Carvalho,CAM,"CAM, RM, LM, LW, ST",1
D. Dainelli,CB,"CB, CAM, CDM, CF, CM",1
K. Hansen,CB,"CB, RB, LB, CDM, CM",0
R. Bennett,CB,"CB, CAM, CDM, CF, CM",1
Kwoun Sun Tae,GK,"GK, CB, CAM, CDM, CF",1
Mauro Cildinho,RB,"LB, RB, CDM, CM, CB",0
Edinho,ST,"ST, CAM, CB, CF, CM",1
A. Ragusa,LW,"LW, ST, RM, LM, CAM",0
F. Lemoine,CDM,"CDM, CM, RB, LB, CB",1
V. Coufal,RB,"RB, LB, CB, LM, CF",1
M. Oršić,LM,"RM, LM, CAM, ST, RW",0
Édundo Oliveira,CB,"CB, CAM, CDM, CF, CM",1
T. Parker,CB,"CB, CDM, CAM, CF, CM",1
S. Hutchinson,CB,"CB, RB, CAM, CF, CM",1
Léo Bonatini,ST,"ST, RM, CAM, CF, CM",1
V. Aguilera,CB,"CB, RB, CDM, ST, CM",1
B. Barišić,LB,"LB, RB, CDM, CB, CF",1
D. Khocholava,CB,"CB, CDM, CAM, CF, CM",1
M. Frey,ST,"ST, CB, CAM, CF, CM",1
J. Akpa Akpro,CM,"CM, RB, LB, LM, ST",1
A. Scholz,CB,"CB, CDM, CM, LB, RB",1
M. Duffy,CAM,"CAM, RM, LM, RW, CDM",1
G. McAuley,CB,"CB, CAM, CDM, CF, CM",1
P. Lasogga,ST,"ST, CAM, CB, CF, CM",1
Z. Ferhat,RM,"RM, LM, CAM, ST, RW",1
C. Marshall,CB,"CB, CDM, LB, CAM, CF",1
J. Bahebeck,ST,"ST, LM, CAM, RM, LW",1
K. Kusk,RM,"RM, LM, CAM, LW, ST",1
E. Lamanna,GK,"GK, CB, CAM, CDM, CF",1
E. Berggreen,ST,"ST, CB, CAM, CF, CM",1
V. Găman,CB,"CB, CDM, RB, LB, CM",1
J. Ledley,CDM,"CDM, CM, CB, RB, CAM",1
A. Çalık,CB,"CB, CDM, CM, LB, RB",1
A. Cerri,ST,"ST, LM, CAM, CF, CM",1
C. Gytkjær,ST,"ST, CB, CAM, CF, CM",1
S. Pellissier,ST,"ST, LW, CAM, RM, LM",1
M. Antonsson,ST,"ST, LM, CAM, CF, CM",1
M. Kean,ST,"ST, CB, CAM, CF, CM",1
J. Collins,CB,"CB, CDM, CAM, CF, CM",1
N. Mushekwi,ST,"ST, CB, CAM, CF, CM",1
L. Jiménez,CB,"CB, RB, CDM, CM, CAM",1
D. N'Dinga,CDM,"CDM, CB, CM, RB, LB",0
J. van Overeem,CM,"CM, RM, LM, CAM, LW",1
J. Moreira,RB,"LB, RB, CB, LM, CDM",0
J. Pereira,CB,"CB, CAM, CDM, CF, CM",1
N. Galović,CB,"CB, LB, RB, CDM, CF",1
L. Ajorque,ST,"ST, CB, CAM, CF, CM",1
H. Barcos,ST,"ST, CM, RM, CAM, LM",1
G. Lanaro,CB,"CB, CAM, CDM, CF, CM",1
W. Zimmerman,CB,"CB, CDM, CAM, CF, CM",1
R. Gutiérrez,ST,"ST, CB, CAM, CF, CM",1
F. Ceravolo,ST,"ST, RM, CAM, LM, CF",1
F. Coloccini,CB,"CB, CDM, CAM, RB, CF",1
G. Curci,GK,"GK, CB, CAM, CDM, CF",1
Daniel Guimarães,GK,"GK, CB, CAM, CDM, CF",1
M. Cuisance,CM,"CM, CAM, RM, LM, LB",0
Dankler,CB,"CB, CAM, CDM, CF, CM",1
M. Goicoechea,GK,"GK, CB, CAM, CDM, CF",1
C. Obasi,ST,"ST, RM, CAM, LB, LM",1
T. Howard,GK,"GK, CB, CAM, CDM, CF",1
H. Goitom,ST,"ST, CDM, CM, LM, RM",1
